GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
salary-statement,y.cloud.java.models_utils,NotStated.new NotStated() {...},0,11,0,0,0,2,0,2,0,2
salary-statement,y.cloud.java.models_utils,NotStated,0,27,0,0,0,5,0,1,0,1
salary-statement,y.cloud.java.models_utils,NotStated.new NotStated() {...},0,8,0,0,0,2,0,2,0,2
salary-statement,y.cloud.java.models_utils,NotStated.new NotStated() {...},3,5,0,0,1,1,1,1,1,1
salary-statement,y.cloud.java.models_utils,NotStated.new NotStated() {...},0,7,0,0,0,2,0,2,0,2
salary-statement,y.cloud.java,App,5,3,0,0,2,1,1,1,1,1
salary-statement,y.cloud.java.dto_models,PayoutTypeRequest,0,17,0,0,0,6,0,5,0,5
salary-statement,y.cloud.java.dto_models,ProjectRequest,0,31,0,0,0,12,0,9,0,9
salary-statement,y.cloud.java.dto_models,EmployeeRoleHistoryRequest,0,38,0,0,0,16,0,11,0,11
salary-statement,y.cloud.java.dto_models,ProjectSetupRequest,0,24,0,0,0,10,0,7,0,7
salary-statement,y.cloud.java.dto_models,RolePayoutValueRequest,0,24,0,0,0,10,0,7,0,7
salary-statement,y.cloud.java.dto_models,PostRequest,0,24,0,0,0,10,0,7,0,7
salary-statement,y.cloud.java.dto_models,EmployeePostHistoryRequest,0,31,0,0,0,13,0,9,0,9
salary-statement,y.cloud.java.dto_models,EmployeeRequest,0,59,0,0,0,24,0,17,0,17
salary-statement,y.cloud.java.dto_models,RoleRequest,0,17,0,0,0,6,0,5,0,5
salary-statement,y.cloud.java.dto_models,PayoutRequest,0,31,0,0,0,12,0,9,0,9
salary-statement,y.cloud.java.dto_models,WorkExperiencePayoutValueRequest,0,24,0,0,0,9,0,7,0,7
salary-statement,y.cloud.java.dao_models,PayoutTypeDAO,0,43,0,0,0,11,0,5,0,5
salary-statement,y.cloud.java.dao_models,WorkExperiencePayoutValueDAO,0,47,0,0,0,10,0,5,0,5
salary-statement,y.cloud.java.dao_models,RoleDAO,0,43,0,0,0,9,0,5,0,5
salary-statement,y.cloud.java.dao_models,EmployeeDAO,0,517,7,9,0,91,7,16,0,15
salary-statement,y.cloud.java.dao_models,EmployeeRoleHistoryDAO,0,83,0,0,0,17,0,5,0,5
salary-statement,y.cloud.java.dao_models,RolePayoutValueDAO,0,65,0,0,0,12,0,5,0,5
salary-statement,y.cloud.java.dao_models,EmployeePostHistoryDAO,0,72,0,0,0,16,0,5,0,5
salary-statement,y.cloud.java.dao_models,ProjectSetupDAO,0,85,0,0,0,16,0,5,0,5
salary-statement,y.cloud.java.dao_models,ProjectDAO,0,142,4,4,0,24,4,7,0,7
salary-statement,y.cloud.java.dao_models,PostDAO,0,81,0,0,0,18,0,7,0,7
salary-statement,y.cloud.java.dao_models,PayoutDAO,0,72,0,0,0,15,0,5,0,5
salary-statement,y.cloud.java.salary_statement_models,Project,10,36,0,0,4,14,3,7,3,7
salary-statement,y.cloud.java.salary_statement_models,PayoutType,4,20,0,0,2,8,1,5,1,5
salary-statement,y.cloud.java.salary_statement_models,RolePayoutValue,0,34,0,0,0,11,0,6,0,6
salary-statement,y.cloud.java.salary_statement_models,Employee,16,71,0,0,6,27,5,13,5,13
salary-statement,y.cloud.java.salary_statement_models,Role,9,20,2,0,4,8,2,5,1,5
salary-statement,y.cloud.java.salary_statement_models,ProjectSetup,0,28,0,0,0,8,0,5,0,5
salary-statement,y.cloud.java.salary_statement_models,ProjectSetupPK,35,12,8,0,6,5,6,2,2,2
salary-statement,y.cloud.java.salary_statement_models,EmployeePostHistory,3,42,0,0,1,15,1,7,1,7
salary-statement,y.cloud.java.salary_statement_models,RolePayoutValuePK,35,12,8,0,6,5,6,2,2,2
salary-statement,y.cloud.java.salary_statement_models,EmployeeRoleHistory,3,48,0,0,1,15,1,7,1,7
salary-statement,y.cloud.java.salary_statement_models,Post,7,28,0,0,3,11,2,6,2,6
salary-statement,y.cloud.java.salary_statement_models,EmployeePostHistoryPK,35,12,8,0,6,5,6,2,2,2
salary-statement,y.cloud.java.salary_statement_models,Payout,3,42,0,0,1,14,1,7,1,7
salary-statement,y.cloud.java.salary_statement_models,PayoutPK,35,12,8,0,6,5,6,2,2,2
salary-statement,y.cloud.java.salary_statement_models,WorkExperiencePayoutValue,7,28,0,0,3,11,2,6,2,6
salary-statement,y.cloud.java.salary_statement_models,EmployeeRoleHistoryPK,44,15,10,0,6,6,7,2,2,2
